DayCode1,Occupation1,Power1
0.8,5,0.74713526
0.8,5,1.3703114
0.8,5,0.75962978
0.8,5,1.1256868
0.8,5,1.9109261
0.8,5,2.8036382
0.8,5,1.2568336
0.8,5,1.4198141
0.8,5,1.9953911
0.8,5,1.1989693
0.8,5,1.5829287
0.8,5,1.4552845
0.8,5,1.6520101
0.8,5,1.1543362
0.8,5,1.101666
0.8,5,1.1442198
0.8,5,1.8806111
0.8,5,1.4344088
0.8,5,1.2170812
0.8,5,1.0379183
0.8,5,1.6548614
0.15,5,1.9332529
0.15,5,2.3160789
0.15,5,2.1603418
0.15,5,1.3008278
0.15,5,1.4510714
0.15,5,0.49174506
0.15,5,0.32265278
0.15,5,0.31624093
0.15,5,1.2729064
0.15,5,0.74097119
0.15,5,0.33293056
0.15,5,0.41263285
0.15,5,0.39810133
0.15,5,1.0659107
0.15,5,0.78917422
0.15,5,0.527358
0.15,5,0.35886333
0.15,5,0.31347822
0.15,5,0.884484
0.15,5,0.59856567
0.15,5,0.70094451
0.15,5,0.50170711
0.15,5,0.30380545
0.15,5,0.91852756
0.15,5,0.33570144
0.15,5,0.58847386
0.15,5,0.74022511
0.15,5,0.36778479
0.15,5,1.6373664
0.15,5,1.1918666
0.15,5,1.2316978
0.15,5,1.6688778
0.15,5,1.7803207
0.15,5,2.2062943
0.15,5,2.8450473
0.15,5,1.3928769
0.15,5,3.0564733
0.15,5,3.7508342
0.15,5,2.5673188
0.15,5,3.1856608
0.15,5,3.302398
0.15,5,3.4510977
0.15,5,3.2887414
0.15,5,1.7637696
0.15,5,1.5741027
0.15,5,1.4793812
0.15,5,1.8665402
0.15,5,1.6809746
0.15,5,2.3658782
0.15,5,0.44067078
0.15,5,1.711
0.15,5,1.1444133
0.15,5,2.1270604
0.15,5,4.6701202
0.15,5,0.51050055
0.15,5,2.611761
0.15,5,2.5937727
0.15,5,2.5292185
0.15,5,1.4745686
0.15,5,0.60272886
0.15,5,0.81090799
0.15,5,1.5448927
0.15,5,1.3501014
0.15,5,1.2562907
0.15,5,0.79330322
0.15,5,1.5169531
0.15,5,1.3508887
0.15,5,1.0292132
0.15,5,1.3737981
0.15,5,0.37632022
0.15,5,0.52163789
0.15,5,0.94451756
0.15,5,1.8169614
0.15,5,0.98841844
0.15,5,0.39911356
0.15,5,0.87457075
0.15,5,1.3439172
0.15,5,1.2677356
0.15,5,3.1836102
0.15,5,3.6412893
0.15,5,3.815215
0.15,5,3.7874299
0.15,5,4.3918536
0.15,5,2.6431463
0.15,5,3.0537544
0.15,5,2.8779756
0.15,5,3.2360657
0.15,5,3.015628
0.15,5,3.1022546
0.15,5,3.6578753
0.15,5,2.8719817
0.15,5,2.5063969
0.15,5,2.3510756
0.15,5,3.4957143
0.15,5,3.4855266
0.15,5,3.1632642
1,4,1.731277
1,4,1.6687394
1,4,2.8017131
1,4,2.5730347
1,4,1.7257089
1,4,0.97707292
1,4,1.2851855
1,4,0.91445289
1,4,0.74550274
1,4,0.37194789
1,4,1.3674205
1,4,1.0384699
1,4,0.53057122
1,4,0.49173374
1,4,1.190922
1,4,0.45052697
1,4,0.75793181
1,4,0.79808367
1,4,1.5821146
1,4,0.92128502
1,4,0.76047575
1,4,0.35569367
1,4,1.0251921
1,4,0.954634
1,4,1.2764219
1,4,0.82841422
1,4,0.46491533
1,4,0.93448711
1,4,1.5527527
1,4,1.2772572
1,4,1.5977812
1,4,2.0684478
1,4,1.0616154
1,4,0.54532956
1,4,0.90650366
1,4,2.3164363
1,4,1.5469488
1,4,2.1205718
1,4,0.55493546
1,4,1.2927526
1,4,1.0704588
1,4,1.447878
1,4,1.1291573
1,4,1.0130181
1,4,1.4037788
1,4,0.80152689
1,4,1.9778152
1,4,3.0668576
1,4,2.3741872
1,4,1.5519454
1,4,2.8683931
1,4,2.29964
1,4,2.4532477
1,4,3.1413659
1,4,1.4172568
1,4,1.9828364
1,4,0.95096149
1,4,1.1742794
1,4,0.63090478
1,4,1.402875
1,4,2.918005
1,4,1.0268878
1,4,1.92746
1,4,2.4613697
1,4,0.64345956
1,4,0.935659
1,4,0.57857514
1,4,1.1256964
1,4,0.89441267
1,4,0.88393178
1,4,1.2033883
1,4,0.55610311
1,4,0.78372642
1,4,1.4829801
1,4,1.2401274
1,4,0.83116211
1,4,0.84873489
1,4,2.1227983
1,4,4.4109541
1,4,2.3908466
1,4,3.2866864
1,4,3.6150871
1,4,4.827584
1,4,3.7467387
1,4,2.6152808
1,4,2.6211698
1,4,3.1211878
1,4,2.6142224
1,4,2.4639599
1,4,2.6468152
1,4,3.4017297
1,4,2.6545417
1,4,2.7366463
1,4,2.6811877
1,4,2.6783944
1,4,3.1227413
0.25,4,1.5880853
0.25,4,1.9184493
0.25,4,1.6188744
0.25,4,1.9807851
0.25,4,1.3464482
0.25,4,0.933938
0.25,4,0.34001609
0.25,4,0.27313671
0.25,4,0.92437911
0.25,4,0.41479922
0.25,4,0.35272744
0.25,4,0.35489278
0.25,4,0.32763807
0.25,4,0.94857709
0.25,4,0.26623189
0.25,4,0.3560808
0.25,4,0.42072914
0.25,4,0.38989378
0.25,4,1.0140583
0.25,4,0.33530055
0.25,4,0.36941633
0.25,4,0.33119055
0.25,4,0.29316681
0.25,4,0.37119489
0.25,4,0.93027686
0.25,4,0.39748824
0.25,4,0.39847319
0.25,4,0.52322009
0.25,4,1.268075
0.25,4,1.8021768
0.25,4,1.2728954
0.25,4,1.1533038
0.25,4,1.1702598
0.25,4,1.1780899
0.25,4,1.112717
0.25,4,1.8204732
0.25,4,1.0988039
0.25,4,1.8661879
0.25,4,2.0428939
0.25,4,2.3334861
0.25,4,2.2713072
0.25,4,2.1675456
0.25,4,2.2567376
0.25,4,0.58277244
0.25,4,1.2406831
0.25,4,0.52412322
0.25,4,1.2677554
0.25,4,0.61098367
0.25,4,0.81471146
0.25,4,1.0031826
0.25,4,0.57189189
0.25,4,1.2694432
0.25,4,1.7168768
0.25,4,3.8822663
0.25,4,2.2873681
0.25,4,2.1100286
0.25,4,1.5166704
0.25,4,0.56777364
0.25,4,1.1548757
0.25,4,0.43717333
0.25,4,1.1290556
0.25,4,0.36168242
0.25,4,1.0809744
0.25,4,0.33261644
0.25,4,0.51497481
0.25,4,0.93577622
0.25,4,0.57677909
0.25,4,0.95720933
0.25,4,0.96520377
0.25,4,0.79363637
0.25,4,1.1335664
0.25,4,1.0666602
0.25,4,1.5497894
0.25,4,2.9835361
0.25,4,2.6611352
0.25,4,2.8048078
0.25,4,3.8314759
0.25,4,3.6014843
0.25,4,3.7792726
0.25,4,5.8317568
0.25,4,4.2238004
0.25,4,3.5324731
0.25,4,3.4979367
0.25,4,3.6938604
0.25,4,5.165416
0.25,4,3.1997541
0.25,4,4.1030802
0.25,4,1.6824702
0.25,4,1.7661266
0.25,4,1.8171951
0.25,4,1.7186276
0.25,4,2.2537795
0.25,4,1.7504571
0.25,4,1.7176721
0.25,4,2.4984876
0.25,4,1.9496914
0.3,6,1.8682441
0.3,6,2.3253154
0.3,6,2.6957768
0.3,6,1.8523395
0.3,6,3.0262829
0.3,6,4.4192901
0.3,6,0.64494489
0.3,6,1.6312526
0.3,6,2.7396017
0.3,6,0.35783951
0.3,6,0.35377778
0.3,6,0.97540534
0.3,6,0.27620211
0.3,6,0.39243296
0.3,6,0.69095873
0.3,6,0.79530433
0.3,6,0.34991413
0.3,6,0.26509667
0.3,6,0.94555867
0.3,6,0.30540789
0.3,6,0.37879944
0.3,6,0.32867489
0.3,6,0.89588189
0.3,6,0.43056167
0.3,6,0.36298202
0.3,6,0.44936452
0.3,6,0.85817256
0.3,6,0.335302
0.3,6,1.1549679
0.3,6,1.1442097
0.3,6,1.7882473
0.3,6,1.4811271
0.3,6,1.2637769
0.3,6,1.2712088
0.3,6,2.2135374
0.3,6,3.017902
0.3,6,2.8950867
0.3,6,3.0236669
0.3,6,2.5348961
0.3,6,1.3118814
0.3,6,1.6828645
0.3,6,0.73139556
0.3,6,0.83458656
0.3,6,0.79521044
0.3,6,0.53499044
0.3,6,2.686494
0.3,6,2.857932
0.3,6,3.0188047
0.3,6,3.0041723
0.3,6,3.6175048
0.3,6,5.0775128
0.3,6,2.6206967
0.3,6,2.8597174
0.3,6,1.7824897
0.3,6,1.4005594
0.3,6,0.44726533
0.3,6,1.0661964
0.3,6,0.34826881
0.3,6,0.53025206
0.3,6,1.5815507
0.3,6,0.64110922
0.3,6,1.5626272
0.3,6,2.0850638
0.3,6,0.54749556
0.3,6,2.2604896
0.3,6,2.1354866
