DayCode1,Occupation1,Power1
0.5,3,4.216
0.5,3,5.36
0.5,3,5.374
0.5,3,5.388
0.5,3,3.666
0.5,3,3.52
0.5,3,3.702
0.5,3,3.7
0.5,3,3.668
0.5,3,3.662
0.5,3,4.448
0.5,3,5.412
0.5,3,5.224
0.5,3,5.268
0.5,3,4.054
0.5,3,3.384
0.5,3,3.27
0.5,3,3.43
0.5,3,3.266
0.5,3,3.728
0.5,3,5.894
0.5,3,7.706
0.5,3,7.026
0.5,3,5.174
0.5,3,4.474
0.5,3,3.248
0.5,3,3.236
0.5,3,3.228
0.5,3,3.258
0.5,3,3.178
0.5,3,2.72
0.5,3,3.758
0.5,3,4.342
0.5,3,4.512
0.5,3,4.058
0.5,3,2.472
0.5,3,2.79
0.5,3,2.624
0.5,3,2.772
0.5,3,3.74
0.5,3,4.928
0.5,3,6.052
0.5,3,6.752
0.5,3,6.474
0.5,3,6.308
0.5,3,4.464
0.5,3,3.396
0.5,3,3.09
0.5,3,3.73
0.5,3,2.308
0.5,3,2.388
0.5,3,4.598
0.5,3,4.524
0.5,3,4.202
0.5,3,4.472
0.5,3,2.852
0.5,3,2.928
0.5,3,2.94
0.5,3,2.934
0.5,3,2.926
0.5,3,3.452
0.5,3,4.87
0.5,3,4.868
0.5,3,4.866
0.5,3,3.176
0.5,3,2.92
0.5,3,2.93
0.5,3,2.912
0.5,3,2.608
0.5,3,2.714
0.5,3,3.538
0.5,3,6.072
0.5,3,4.536
0.5,3,4.408
0.5,3,2.912
0.5,3,2.326
0.5,3,2.264
0.5,3,2.27
0.5,3,2.258
0.5,3,2.188
0.5,3,2.978
0.5,3,4.2
0.5,3,4.204
0.5,3,4.218
0.5,3,2.786
0.5,3,2.54
0.5,3,2.496
0.5,3,2.336
0.5,3,2.322
0.5,3,2.448
0.5,3,4.298
0.5,3,4.23
0.5,3,4.23
1,3,3.924
1,3,4.218
1,3,4.224
1,3,4.07
1,3,3.612
1,3,3.458
1,3,3.434
1,3,3.366
1,3,3.404
1,3,3.382
1,3,3.616
1,3,3.476
1,3,3.394
1,3,3.4
1,3,3.414
1,3,3.432
1,3,3.418
1,3,3.392
1,3,3.394
1,3,3.394
1,3,3.406
1,3,3.42
1,3,3.418
1,3,3.422
1,3,3.332
1,3,3.316
1,3,3.334
1,3,3.262
1,3,3.476
1,3,3.62
1,3,3.61
1,3,3.646
1,3,3.614
1,3,3.408
1,3,3.388
1,3,3.372
1,3,3.37
1,3,3.342
1,3,3.284
1,3,3.276
1,3,3.382
1,3,3.418
1,3,3.396
1,3,3.406
1,3,3.406
1,3,3.392
1,3,3.378
1,3,3.368
1,3,3.35
1,3,3.352
1,3,3.364
1,3,3.38
1,3,3.404
1,3,3.378
1,3,3.388
1,3,3.376
1,3,3.254
1,3,3.214
1,3,3.202
1,3,3.202
1,3,3.212
1,3,3.206
1,3,3.214
1,3,3.206
1,3,3.222
1,3,3.216
1,3,3.216
1,3,3.194
1,3,3.278
1,3,3.282
1,3,3.292
1,3,3.316
1,3,3.37
1,3,3.42
1,3,3.41
1,3,3.4
1,3,3.4
1,3,3.388
1,3,3.37
1,3,3.332
1,3,3.31
1,3,3.312
1,3,3.314
1,3,3.302
1,3,3.302
1,3,3.3
1,3,3.29
1,3,3.286
